,function.,variable,copy_number,plant_nr
191,09131 Membrane transport,C12_C,1.832202885,C12
192,09132 Signal transduction,C12_C,1.255700176,C12
193,09142 Cell motility,C12_C,2.769755967,C12
194,09181 Protein families: metabolism,C12_C,2.305061811,C12
195,09182 Protein families: genetic information processing,C12_C,9.432271125,C12
196,09183 Protein families: signaling and cellular processes,C12_C,4.169292271,C12
197,09191 Unclassified: metabolism,C12_C,5.171419955,C12
198,Other,C12_C,4.277263608,C12
199,09101 Carbohydrate metabolism,C2_A,16.79207988,C2
200,09102 Energy metabolism,C2_A,8.315837378,C2
201,09103 Lipid metabolism,C2_A,4.529946816,C2
202,09104 Nucleotide metabolism,C2_A,3.777172938,C2
203,09105 Amino acid metabolism,C2_A,9.848561769,C2
204,09106 Metabolism of other amino acids,C2_A,1.671696757,C2
205,09107 Glycan biosynthesis and metabolism,C2_A,3.310763028,C2
206,09108 Metabolism of cofactors and vitamins,C2_A,5.245018066,C2
207,09122 Translation,C2_A,13.26181012,C2
208,09124 Replication and repair,C2_A,1.157876797,C2
209,09131 Membrane transport,C2_A,1.907235747,C2
210,09132 Signal transduction,C2_A,1.371710315,C2
211,09142 Cell motility,C2_A,3.094152008,C2
212,09181 Protein families: metabolism,C2_A,2.278109854,C2
213,09182 Protein families: genetic information processing,C2_A,9.436332241,C2
214,09183 Protein families: signaling and cellular processes,C2_A,4.320901387,C2
215,09191 Unclassified: metabolism,C2_A,5.247311749,C2
216,Other,C2_A,4.433483145,C2
217,09101 Carbohydrate metabolism,C2_B,16.62576617,C2
218,09102 Energy metabolism,C2_B,8.315182677,C2
219,09103 Lipid metabolism,C2_B,4.476272103,C2
220,09104 Nucleotide metabolism,C2_B,3.884426537,C2
221,09105 Amino acid metabolism,C2_B,9.817957545,C2
222,09106 Metabolism of other amino acids,C2_B,1.608468428,C2
223,09107 Glycan biosynthesis and metabolism,C2_B,3.520709315,C2
224,09108 Metabolism of cofactors and vitamins,C2_B,5.265663451,C2
225,09122 Translation,C2_B,13.64813208,C2
226,09124 Replication and repair,C2_B,1.138833456,C2
227,09131 Membrane transport,C2_B,1.957707214,C2
228,09132 Signal transduction,C2_B,1.283416454,C2
229,09142 Cell motility,C2_B,2.85008382,C2
230,09181 Protein families: metabolism,C2_B,2.225499932,C2
231,09182 Protein families: genetic information processing,C2_B,9.529190162,C2
232,09183 Protein families: signaling and cellular processes,C2_B,4.348544189,C2
233,09191 Unclassified: metabolism,C2_B,5.165807208,C2
234,Other,C2_B,4.338339259,C2
235,09101 Carbohydrate metabolism,C2_C,16.47117098,C2
236,09102 Energy metabolism,C2_C,8.250347909,C2
237,09103 Lipid metabolism,C2_C,4.420672778,C2
238,09104 Nucleotide metabolism,C2_C,4.106460698,C2
239,09105 Amino acid metabolism,C2_C,9.783887578,C2
240,09106 Metabolism of other amino acids,C2_C,1.415869464,C2
241,09107 Glycan biosynthesis and metabolism,C2_C,3.947483662,C2
242,09108 Metabolism of cofactors and vitamins,C2_C,5.347156317,C2
243,09122 Translation,C2_C,14.02291069,C2
244,09124 Replication and repair,C2_C,1.142186536,C2
245,09131 Membrane transport,C2_C,2.013371377,C2
246,09132 Signal transduction,C2_C,1.130884949,C2
247,09142 Cell motility,C2_C,2.281049382,C2
248,09181 Protein families: metabolism,C2_C,2.103921403,C2
249,09182 Protein families: genetic information processing,C2_C,9.718067047,C2
250,09183 Protein families: signaling and cellular processes,C2_C,4.507756983,C2
251,09191 Unclassified: metabolism,C2_C,5.130113647,C2
252,Other,C2_C,4.206688593,C2
253,09101 Carbohydrate metabolism,C3_A,16.59322211,C3
254,09102 Energy metabolism,C3_A,8.319701289,C3
255,09103 Lipid metabolism,C3_A,4.433006878,C3
256,09104 Nucleotide metabolism,C3_A,3.7391487,C3
257,09105 Amino acid metabolism,C3_A,9.723541205,C3
258,09106 Metabolism of other amino acids,C3_A,1.703927182,C3
259,09107 Glycan biosynthesis and metabolism,C3_A,3.419094393,C3
260,09108 Metabolism of cofactors and vitamins,C3_A,5.085667728,C3
261,09122 Translation,C3_A,12.70486907,C3
262,09124 Replication and repair,C3_A,1.154694241,C3
263,09131 Membrane transport,C3_A,1.977549532,C3
264,09132 Signal transduction,C3_A,1.456270357,C3
265,09142 Cell motility,C3_A,3.142682011,C3
266,09181 Protein families: metabolism,C3_A,2.207295423,C3
267,09182 Protein families: genetic information processing,C3_A,9.584915849,C3
268,09183 Protein families: signaling and cellular processes,C3_A,4.827031231,C3
269,09191 Unclassified: metabolism,C3_A,5.366847171,C3
270,Other,C3_A,4.560535627,C3
271,09101 Carbohydrate metabolism,C3_B,16.7191981,C3
272,09102 Energy metabolism,C3_B,8.417748635,C3
273,09103 Lipid metabolism,C3_B,4.50858591,C3
274,09104 Nucleotide metabolism,C3_B,3.84597711,C3
275,09105 Amino acid metabolism,C3_B,9.80258687,C3
276,09106 Metabolism of other amino acids,C3_B,1.636369985,C3
277,09107 Glycan biosynthesis and metabolism,C3_B,3.375283613,C3
278,09108 Metabolism of cofactors and vitamins,C3_B,5.210959944,C3
279,09122 Translation,C3_B,13.47906569,C3
280,09124 Replication and repair,C3_B,1.135151409,C3
281,09131 Membrane transport,C3_B,1.924304808,C3
282,09132 Signal transduction,C3_B,1.323130045,C3
283,09142 Cell motility,C3_B,3.043826787,C3
284,09181 Protein families: metabolism,C3_B,2.23477717,C3
285,09182 Protein families: genetic information processing,C3_B,9.520547448,C3
286,09183 Protein families: signaling and cellular processes,C3_B,4.300030177,C3
287,09191 Unclassified: metabolism,C3_B,5.192424615,C3
288,Other,C3_B,4.330031687,C3
289,09101 Carbohydrate metabolism,C3_C,16.62325552,C3
290,09102 Energy metabolism,C3_C,8.560838482,C3
291,09103 Lipid metabolism,C3_C,4.41911314,C3
292,09104 Nucleotide metabolism,C3_C,3.785733381,C3
293,09105 Amino acid metabolism,C3_C,9.706862731,C3
294,09106 Metabolism of other amino acids,C3_C,1.626659549,C3
295,09107 Glycan biosynthesis and metabolism,C3_C,3.509403428,C3
