,function.,variable,copy_number,plant_nr
975,09103 Lipid metabolism,J15_C,4.5276054,J15
976,09104 Nucleotide metabolism,J15_C,3.525262741,J15
977,09105 Amino acid metabolism,J15_C,9.630582968,J15
978,09106 Metabolism of other amino acids,J15_C,1.931405415,J15
979,09107 Glycan biosynthesis and metabolism,J15_C,3.326081299,J15
980,09108 Metabolism of cofactors and vitamins,J15_C,4.676554704,J15
981,09122 Translation,J15_C,12.82685457,J15
982,09124 Replication and repair,J15_C,1.058820665,J15
983,09131 Membrane transport,J15_C,1.604535525,J15
984,09132 Signal transduction,J15_C,1.610333116,J15
985,09142 Cell motility,J15_C,4.726609226,J15
986,09181 Protein families: metabolism,J15_C,2.163248406,J15
987,09182 Protein families: genetic information processing,J15_C,9.693812723,J15
988,09183 Protein families: signaling and cellular processes,J15_C,4.368407466,J15
989,09191 Unclassified: metabolism,J15_C,4.818893957,J15
990,Other,J15_C,4.375888585,J15
991,09101 Carbohydrate metabolism,J16_A,17.10034404,J16
992,09102 Energy metabolism,J16_A,8.725074225,J16
993,09103 Lipid metabolism,J16_A,4.72151152,J16
994,09104 Nucleotide metabolism,J16_A,3.39018377,J16
995,09105 Amino acid metabolism,J16_A,9.638914833,J16
996,09106 Metabolism of other amino acids,J16_A,2.015989203,J16
997,09107 Glycan biosynthesis and metabolism,J16_A,3.200198533,J16
998,09108 Metabolism of cofactors and vitamins,J16_A,4.686368705,J16
999,09122 Translation,J16_A,12.13101281,J16
1000,09124 Replication and repair,J16_A,1.030629747,J16
1001,09131 Membrane transport,J16_A,1.626884939,J16
1002,09132 Signal transduction,J16_A,1.607473071,J16
1003,09142 Cell motility,J16_A,4.525996224,J16
1004,09181 Protein families: metabolism,J16_A,2.172827728,J16
1005,09182 Protein families: genetic information processing,J16_A,9.574842991,J16
1006,09183 Protein families: signaling and cellular processes,J16_A,4.317173907,J16
1007,09191 Unclassified: metabolism,J16_A,5.086355715,J16
1008,Other,J16_A,4.448218042,J16
1009,09101 Carbohydrate metabolism,J16_B,16.40928202,J16
1010,09102 Energy metabolism,J16_B,8.357312423,J16
1011,09103 Lipid metabolism,J16_B,4.190378944,J16
1012,09104 Nucleotide metabolism,J16_B,3.794286664,J16
1013,09105 Amino acid metabolism,J16_B,9.486959856,J16
1014,09106 Metabolism of other amino acids,J16_B,1.531457115,J16
1015,09107 Glycan biosynthesis and metabolism,J16_B,3.554213329,J16
1016,09108 Metabolism of cofactors and vitamins,J16_B,4.505500187,J16
1017,09122 Translation,J16_B,13.89854569,J16
1018,09124 Replication and repair,J16_B,1.131762845,J16
1019,09131 Membrane transport,J16_B,1.573788772,J16
1020,09132 Signal transduction,J16_B,1.667544392,J16
1021,09142 Cell motility,J16_B,4.723711904,J16
1022,09181 Protein families: metabolism,J16_B,2.229196076,J16
1023,09182 Protein families: genetic information processing,J16_B,9.988603081,J16
1024,09183 Protein families: signaling and cellular processes,J16_B,4.584889445,J16
1025,09191 Unclassified: metabolism,J16_B,4.286626773,J16
1026,Other,J16_B,4.08594048,J16
1027,09101 Carbohydrate metabolism,J16_C,16.44652073,J16
1028,09102 Energy metabolism,J16_C,8.528826026,J16
1029,09103 Lipid metabolism,J16_C,4.319080454,J16
1030,09104 Nucleotide metabolism,J16_C,3.656638017,J16
1031,09105 Amino acid metabolism,J16_C,9.456034526,J16
1032,09106 Metabolism of other amino acids,J16_C,1.678011796,J16
1033,09107 Glycan biosynthesis and metabolism,J16_C,3.544279595,J16
1034,09108 Metabolism of cofactors and vitamins,J16_C,4.530667966,J16
1035,09122 Translation,J16_C,13.48551571,J16
1036,09124 Replication and repair,J16_C,1.089926575,J16
1037,09131 Membrane transport,J16_C,1.461875366,J16
1038,09132 Signal transduction,J16_C,1.668208331,J16
1039,09142 Cell motility,J16_C,4.848016591,J16
1040,09181 Protein families: metabolism,J16_C,2.142144509,J16
1041,09182 Protein families: genetic information processing,J16_C,9.966251191,J16
1042,09183 Protein families: signaling and cellular processes,J16_C,4.686379934,J16
1043,09191 Unclassified: metabolism,J16_C,4.374549176,J16
1044,Other,J16_C,4.117073513,J16
1045,09101 Carbohydrate metabolism,J17_A,16.6517092,J17
1046,09102 Energy metabolism,J17_A,8.756246725,J17
1047,09103 Lipid metabolism,J17_A,4.632263858,J17
1048,09104 Nucleotide metabolism,J17_A,3.481772029,J17
1049,09105 Amino acid metabolism,J17_A,9.535189882,J17
1050,09106 Metabolism of other amino acids,J17_A,1.917338134,J17
1051,09107 Glycan biosynthesis and metabolism,J17_A,3.397528256,J17
1052,09108 Metabolism of cofactors and vitamins,J17_A,4.680185848,J17
1053,09122 Translation,J17_A,12.73663734,J17
1054,09124 Replication and repair,J17_A,1.03768084,J17
1055,09131 Membrane transport,J17_A,1.546945588,J17
1056,09132 Signal transduction,J17_A,1.604000759,J17
1057,09142 Cell motility,J17_A,4.573709082,J17
1058,09181 Protein families: metabolism,J17_A,2.110691416,J17
1059,09182 Protein families: genetic information processing,J17_A,9.697247434,J17
1060,09183 Protein families: signaling and cellular processes,J17_A,4.558932912,J17
1061,09191 Unclassified: metabolism,J17_A,4.806016808,J17
1062,Other,J17_A,4.275903886,J17
1063,09101 Carbohydrate metabolism,J17_B,16.88011082,J17
1064,09102 Energy metabolism,J17_B,8.771874264,J17
1065,09103 Lipid metabolism,J17_B,4.718359889,J17
1066,09104 Nucleotide metabolism,J17_B,3.413277848,J17
1067,09105 Amino acid metabolism,J17_B,9.591406117,J17
1068,09106 Metabolism of other amino acids,J17_B,2.022292539,J17
1069,09107 Glycan biosynthesis and metabolism,J17_B,3.288740527,J17
1070,09108 Metabolism of cofactors and vitamins,J17_B,4.682278666,J17
1071,09122 Translation,J17_B,12.48004218,J17
1072,09124 Replication and repair,J17_B,1.022964486,J17
1073,09131 Membrane transport,J17_B,1.56320664,J17
1074,09132 Signal transduction,J17_B,1.584662473,J17
1075,09142 Cell motility,J17_B,4.65515923,J17
1076,09181 Protein families: metabolism,J17_B,2.118106107,J17
1077,09182 Protein families: genetic information processing,J17_B,9.650810782,J17
1078,09183 Protein families: signaling and cellular processes,J17_B,4.355242275,J17
1079,09191 Unclassified: metabolism,J17_B,4.875449164,J17
1080,Other,J17_B,4.326015989,J17
1081,09101 Carbohydrate metabolism,J17_C,16.47839067,J17
1082,09102 Energy metabolism,J17_C,8.610223894,J17
1083,09103 Lipid metabolism,J17_C,4.533835598,J17
1084,09104 Nucleotide metabolism,J17_C,3.515623003,J17
1085,09105 Amino acid metabolism,J17_C,9.599652307,J17
1086,09106 Metabolism of other amino acids,J17_C,1.962214229,J17
1087,09107 Glycan biosynthesis and metabolism,J17_C,3.349893374,J17
1088,09108 Metabolism of cofactors and vitamins,J17_C,4.65703762,J17
1089,09122 Translation,J17_C,12.99592922,J17
1090,09124 Replication and repair,J17_C,1.054216565,J17
1091,09131 Membrane transport,J17_C,1.578185627,J17
1092,09132 Signal transduction,J17_C,1.598008639,J17
1093,09142 Cell motility,J17_C,4.896442803,J17
1094,09181 Protein families: metabolism,J17_C,2.116182748,J17
1095,09182 Protein families: genetic information processing,J17_C,9.754953184,J17
1096,09183 Protein families: signaling and cellular processes,J17_C,4.373601554,J17
1097,09191 Unclassified: metabolism,J17_C,4.639996919,J17
1098,Other,J17_C,4.28561205,J17
1099,09101 Carbohydrate metabolism,J18_A,16.90787504,J18
1100,09102 Energy metabolism,J18_A,8.696723311,J18
1101,09103 Lipid metabolism,J18_A,4.722704888,J18
1102,09104 Nucleotide metabolism,J18_A,3.396349488,J18
1103,09105 Amino acid metabolism,J18_A,9.612730402,J18
1104,09106 Metabolism of other amino acids,J18_A,1.968237839,J18
1105,09107 Glycan biosynthesis and metabolism,J18_A,3.237851945,J18
1106,09108 Metabolism of cofactors and vitamins,J18_A,4.748522091,J18
1107,09122 Translation,J18_A,12.13287321,J18
1108,09124 Replication and repair,J18_A,1.059168154,J18
1109,09131 Membrane transport,J18_A,1.69182064,J18
1110,09132 Signal transduction,J18_A,1.628049306,J18
1111,09142 Cell motility,J18_A,4.200351203,J18
1112,09181 Protein families: metabolism,J18_A,2.183968786,J18
1113,09182 Protein families: genetic information processing,J18_A,9.504782219,J18
1114,09183 Protein families: signaling and cellular processes,J18_A,4.532085281,J18
1115,09191 Unclassified: metabolism,J18_A,5.235182433,J18
1116,Other,J18_A,4.540723767,J18
1117,09101 Carbohydrate metabolism,J18_B,16.99576079,J18
1118,09102 Energy metabolism,J18_B,8.623218091,J18
1119,09103 Lipid metabolism,J18_B,4.745417719,J18
1120,09104 Nucleotide metabolism,J18_B,3.408934022,J18
1121,09105 Amino acid metabolism,J18_B,9.678087857,J18
1122,09106 Metabolism of other amino acids,J18_B,1.993449252,J18
1123,09107 Glycan biosynthesis and metabolism,J18_B,3.2044749,J18
1124,09108 Metabolism of cofactors and vitamins,J18_B,4.778452123,J18
1125,09122 Translation,J18_B,12.15185512,J18
1126,09124 Replication and repair,J18_B,1.056776945,J18
1127,09131 Membrane transport,J18_B,1.709879771,J18
1128,09132 Signal transduction,J18_B,1.604424558,J18
1129,09142 Cell motility,J18_B,4.211809433,J18
1130,09181 Protein families: metabolism,J18_B,2.212888946,J18
1131,09182 Protein families: genetic information processing,J18_B,9.488612123,J18
1132,09183 Protein families: signaling and cellular processes,J18_B,4.351285253,J18
1133,09191 Unclassified: metabolism,J18_B,5.239672608,J18
1134,Other,J18_B,4.545000488,J18
1135,09101 Carbohydrate metabolism,J18_C,16.61169374,J18
1136,09102 Energy metabolism,J18_C,8.540248345,J18
1137,09103 Lipid metabolism,J18_C,4.54580237,J18
1138,09104 Nucleotide metabolism,J18_C,3.51884635,J18
1139,09105 Amino acid metabolism,J18_C,9.664681431,J18
1140,09106 Metabolism of other amino acids,J18_C,1.936716312,J18
1141,09107 Glycan biosynthesis and metabolism,J18_C,3.300791686,J18
1142,09108 Metabolism of cofactors and vitamins,J18_C,4.696281925,J18
1143,09122 Translation,J18_C,12.91443816,J18
1144,09124 Replication and repair,J18_C,1.076191444,J18
1145,09131 Membrane transport,J18_C,1.633107419,J18
1146,09132 Signal transduction,J18_C,1.589969894,J18
1147,09142 Cell motility,J18_C,4.619830971,J18
1148,09181 Protein families: metabolism,J18_C,2.184282459,J18
1149,09182 Protein families: genetic information processing,J18_C,9.663521198,J18
1150,09183 Protein families: signaling and cellular processes,J18_C,4.305427417,J18
1151,09191 Unclassified: metabolism,J18_C,4.803362196,J18
1152,Other,J18_C,4.394806683,J18
1153,09101 Carbohydrate metabolism,J19_A,16.99111744,J19
1154,09102 Energy metabolism,J19_A,8.744561959,J19
1155,09103 Lipid metabolism,J19_A,4.748938654,J19
1156,09104 Nucleotide metabolism,J19_A,3.40580494,J19
1157,09105 Amino acid metabolism,J19_A,9.600106039,J19
1158,09106 Metabolism of other amino acids,J19_A,1.933506979,J19
1159,09107 Glycan biosynthesis and metabolism,J19_A,3.200538077,J19
1160,09108 Metabolism of cofactors and vitamins,J19_A,4.752971778,J19
1161,09122 Translation,J19_A,12.19656056,J19
1162,09124 Replication and repair,J19_A,1.049862902,J19
1163,09131 Membrane transport,J19_A,1.674901151,J19
1164,09132 Signal transduction,J19_A,1.607590067,J19
1165,09142 Cell motility,J19_A,4.256360182,J19
1166,09181 Protein families: metabolism,J19_A,2.231080897,J19
1167,09182 Protein families: genetic information processing,J19_A,9.483160965,J19
1168,09183 Protein families: signaling and cellular processes,J19_A,4.419870659,J19
1169,09191 Unclassified: metabolism,J19_A,5.211090507,J19
1170,Other,J19_A,4.491976247,J19
1171,09101 Carbohydrate metabolism,J19_B,16.713103,J19
1172,09102 Energy metabolism,J19_B,8.719508816,J19
1173,09103 Lipid metabolism,J19_B,4.562526487,J19
1174,09104 Nucleotide metabolism,J19_B,3.483389329,J19
1175,09105 Amino acid metabolism,J19_B,9.459579786,J19
1176,09106 Metabolism of other amino acids,J19_B,1.861685005,J19
1177,09107 Glycan biosynthesis and metabolism,J19_B,3.420527137,J19
1178,09108 Metabolism of cofactors and vitamins,J19_B,4.56181528,J19
1179,09122 Translation,J19_B,12.66758364,J19
1180,09124 Replication and repair,J19_B,1.041328602,J19
1181,09131 Membrane transport,J19_B,1.584138517,J19
1182,09132 Signal transduction,J19_B,1.672283752,J19
1183,09142 Cell motility,J19_B,4.840283537,J19
1184,09181 Protein families: metabolism,J19_B,2.143476417,J19
1185,09182 Protein families: genetic information processing,J19_B,9.77908271,J19
1186,09183 Protein families: signaling and cellular processes,J19_B,4.627637552,J19
1187,09191 Unclassified: metabolism,J19_B,4.634530175,J19
1188,Other,J19_B,4.227520255,J19
1189,09101 Carbohydrate metabolism,J19_C,16.35540179,J19
1190,09102 Energy metabolism,J19_C,8.444864181,J19
1191,09103 Lipid metabolism,J19_C,4.3106092,J19
1192,09104 Nucleotide metabolism,J19_C,3.615833218,J19
1193,09105 Amino acid metabolism,J19_C,9.572678614,J19
1194,09106 Metabolism of other amino acids,J19_C,1.834756463,J19
1195,09107 Glycan biosynthesis and metabolism,J19_C,3.4340054,J19
1196,09108 Metabolism of cofactors and vitamins,J19_C,4.626877663,J19
1197,09122 Translation,J19_C,13.43722749,J19
1198,09124 Replication and repair,J19_C,1.071869708,J19
1199,09131 Membrane transport,J19_C,1.579484851,J19
1200,09132 Signal transduction,J19_C,1.63006589,J19
1201,09142 Cell motility,J19_C,4.910913344,J19
1202,09181 Protein families: metabolism,J19_C,2.149422494,J19
1203,09182 Protein families: genetic information processing,J19_C,9.84934744,J19
1204,09183 Protein families: signaling and cellular processes,J19_C,4.425208687,J19
1205,09191 Unclassified: metabolism,J19_C,4.480576478,J19
1206,Other,J19_C,4.270857087,J19
1207,09101 Carbohydrate metabolism,J2_A,17.16036151,J2
1208,09102 Energy metabolism,J2_A,8.812696999,J2
1209,09103 Lipid metabolism,J2_A,4.778542614,J2
1210,09104 Nucleotide metabolism,J2_A,3.398156416,J2
1211,09105 Amino acid metabolism,J2_A,9.636558377,J2
1212,09106 Metabolism of other amino acids,J2_A,1.94928703,J2
1213,09107 Glycan biosynthesis and metabolism,J2_A,3.15484965,J2
1214,09108 Metabolism of cofactors and vitamins,J2_A,4.806817051,J2
1215,09122 Translation,J2_A,12.12174832,J2
1216,09124 Replication and repair,J2_A,1.061380377,J2
1217,09131 Membrane transport,J2_A,1.705182673,J2
1218,09132 Signal transduction,J2_A,1.558068547,J2
1219,09142 Cell motility,J2_A,4.116417325,J2
1220,09181 Protein families: metabolism,J2_A,2.262660702,J2
1221,09182 Protein families: genetic information processing,J2_A,9.405550097,J2
1222,09183 Protein families: signaling and cellular processes,J2_A,4.311115461,J2
1223,09191 Unclassified: metabolism,J2_A,5.280256269,J2
1224,Other,J2_A,4.48035059,J2
1225,09101 Carbohydrate metabolism,J2_B,16.80555542,J2
1226,09102 Energy metabolism,J2_B,8.62450632,J2
1227,09103 Lipid metabolism,J2_B,4.65209422,J2
1228,09104 Nucleotide metabolism,J2_B,3.481468901,J2
1229,09105 Amino acid metabolism,J2_B,9.548116629,J2
1230,09106 Metabolism of other amino acids,J2_B,1.878078682,J2
1231,09107 Glycan biosynthesis and metabolism,J2_B,3.331062975,J2
1232,09108 Metabolism of cofactors and vitamins,J2_B,4.745413239,J2
1233,09122 Translation,J2_B,12.47952112,J2
1234,09124 Replication and repair,J2_B,1.067868516,J2
1235,09131 Membrane transport,J2_B,1.621817455,J2
1236,09132 Signal transduction,J2_B,1.647833913,J2
1237,09142 Cell motility,J2_B,4.342110473,J2
1238,09181 Protein families: metabolism,J2_B,2.183886657,J2
1239,09182 Protein families: genetic information processing,J2_B,9.609776963,J2
1240,09183 Protein families: signaling and cellular processes,J2_B,4.599720127,J2
1241,09191 Unclassified: metabolism,J2_B,5.018916997,J2
1242,Other,J2_B,4.36225139,J2
1243,09101 Carbohydrate metabolism,J2_C,16.78846166,J2
1244,09102 Energy metabolism,J2_C,8.820441788,J2
1245,09103 Lipid metabolism,J2_C,4.690687162,J2
1246,09104 Nucleotide metabolism,J2_C,3.45007141,J2
1247,09105 Amino acid metabolism,J2_C,9.535794822,J2
1248,09106 Metabolism of other amino acids,J2_C,1.924645518,J2
1249,09107 Glycan biosynthesis and metabolism,J2_C,3.31073882,J2
1250,09108 Metabolism of cofactors and vitamins,J2_C,4.728810496,J2
1251,09122 Translation,J2_C,12.59323383,J2
1252,09124 Replication and repair,J2_C,1.051552755,J2
1253,09131 Membrane transport,J2_C,1.629414296,J2
1254,09132 Signal transduction,J2_C,1.585514228,J2
1255,09142 Cell motility,J2_C,4.402435457,J2
1256,09181 Protein families: metabolism,J2_C,2.162775147,J2
1257,09182 Protein families: genetic information processing,J2_C,9.616434835,J2
1258,09183 Protein families: signaling and cellular processes,J2_C,4.460195615,J2
1259,09191 Unclassified: metabolism,J2_C,4.924379199,J2
1260,Other,J2_C,4.324412964,J2
1261,09101 Carbohydrate metabolism,J20_A,16.64005771,J20
1262,09102 Energy metabolism,J20_A,8.711658712,J20
1263,09103 Lipid metabolism,J20_A,4.63000102,J20
1264,09104 Nucleotide metabolism,J20_A,3.44523855,J20
1265,09105 Amino acid metabolism,J20_A,9.412611172,J20
1266,09106 Metabolism of other amino acids,J20_A,1.828915841,J20
1267,09107 Glycan biosynthesis and metabolism,J20_A,3.391471591,J20
1268,09108 Metabolism of cofactors and vitamins,J20_A,4.707984666,J20
1269,09122 Translation,J20_A,12.44372412,J20
1270,09124 Replication and repair,J20_A,1.045667509,J20
1271,09131 Membrane transport,J20_A,1.656119427,J20
1272,09132 Signal transduction,J20_A,1.702609217,J20
1273,09142 Cell motility,J20_A,4.28779272,J20
1274,09181 Protein families: metabolism,J20_A,2.152153126,J20
1275,09182 Protein families: genetic information processing,J20_A,9.663585487,J20
1276,09183 Protein families: signaling and cellular processes,J20_A,4.868603161,J20
1277,09191 Unclassified: metabolism,J20_A,5.019527998,J20
1278,Other,J20_A,4.392277975,J20
1279,09101 Carbohydrate metabolism,J20_B,16.52629204,J20
1280,09102 Energy metabolism,J20_B,8.604986896,J20
1281,09103 Lipid metabolism,J20_B,4.623320675,J20
1282,09104 Nucleotide metabolism,J20_B,3.436565057,J20
1283,09105 Amino acid metabolism,J20_B,9.656143102,J20
1284,09106 Metabolism of other amino acids,J20_B,2.076472901,J20
1285,09107 Glycan biosynthesis and metabolism,J20_B,3.314509893,J20
1286,09108 Metabolism of cofactors and vitamins,J20_B,4.711698104,J20
1287,09122 Translation,J20_B,12.65106162,J20
1288,09124 Replication and repair,J20_B,1.030455593,J20
1289,09131 Membrane transport,J20_B,1.623731657,J20
1290,09132 Signal transduction,J20_B,1.605884916,J20
1291,09142 Cell motility,J20_B,4.829282816,J20
1292,09181 Protein families: metabolism,J20_B,2.119953576,J20
1293,09182 Protein families: genetic information processing,J20_B,9.66027597,J20
1294,09183 Protein families: signaling and cellular processes,J20_B,4.336131902,J20
1295,09191 Unclassified: metabolism,J20_B,4.791411873,J20
1296,Other,J20_B,4.401821409,J20
1297,09101 Carbohydrate metabolism,J20_C,16.51754503,J20
1298,09102 Energy metabolism,J20_C,8.457314105,J20
1299,09103 Lipid metabolism,J20_C,4.428426592,J20
1300,09104 Nucleotide metabolism,J20_C,3.632581647,J20
1301,09105 Amino acid metabolism,J20_C,9.696818442,J20
1302,09106 Metabolism of other amino acids,J20_C,1.866108114,J20
1303,09107 Glycan biosynthesis and metabolism,J20_C,3.379719372,J20
1304,09108 Metabolism of cofactors and vitamins,J20_C,4.629866234,J20
1305,09122 Translation,J20_C,13.38173014,J20
1306,09124 Replication and repair,J20_C,1.090274365,J20
1307,09131 Membrane transport,J20_C,1.608109302,J20
1308,09132 Signal transduction,J20_C,1.582219416,J20
1309,09142 Cell motility,J20_C,4.701193247,J20
1310,09181 Protein families: metabolism,J20_C,2.160885772,J20
1311,09182 Protein families: genetic information processing,J20_C,9.815451816,J20
1312,09183 Protein families: signaling and cellular processes,J20_C,4.251922394,J20
1313,09191 Unclassified: metabolism,J20_C,4.521346316,J20
1314,Other,J20_C,4.278487688,J20
1315,09101 Carbohydrate metabolism,J21_A,16.8843123,J21
1316,09102 Energy metabolism,J21_A,8.610557168,J21
1317,09103 Lipid metabolism,J21_A,4.7135845,J21
1318,09104 Nucleotide metabolism,J21_A,3.356645956,J21
1319,09105 Amino acid metabolism,J21_A,9.763804016,J21
1320,09106 Metabolism of other amino acids,J21_A,2.20873832,J21
1321,09107 Glycan biosynthesis and metabolism,J21_A,3.129217347,J21
1322,09108 Metabolism of cofactors and vitamins,J21_A,4.756483566,J21
1323,09122 Translation,J21_A,12.22198283,J21
1324,09124 Replication and repair,J21_A,1.015118181,J21
1325,09131 Membrane transport,J21_A,1.732196881,J21
1326,09132 Signal transduction,J21_A,1.566250688,J21
1327,09142 Cell motility,J21_A,4.695239852,J21
1328,09181 Protein families: metabolism,J21_A,2.139904975,J21
1329,09182 Protein families: genetic information processing,J21_A,9.542154703,J21
1330,09183 Protein families: signaling and cellular processes,J21_A,4.022990254,J21
1331,09191 Unclassified: metabolism,J21_A,5.079249669,J21
1332,Other,J21_A,4.561568784,J21
1333,09101 Carbohydrate metabolism,J21_B,16.74114454,J21
1334,09102 Energy metabolism,J21_B,8.487937714,J21
1335,09103 Lipid metabolism,J21_B,4.613414197,J21
1336,09104 Nucleotide metabolism,J21_B,3.453613363,J21
1337,09105 Amino acid metabolism,J21_B,9.614594969,J21
1338,09106 Metabolism of other amino acids,J21_B,2.021275875,J21
1339,09107 Glycan biosynthesis and metabolism,J21_B,3.325170442,J21
1340,09108 Metabolism of cofactors and vitamins,J21_B,4.667556882,J21
1341,09122 Translation,J21_B,12.50726726,J21
1342,09124 Replication and repair,J21_B,1.029808627,J21
1343,09131 Membrane transport,J21_B,1.596996929,J21
1344,09132 Signal transduction,J21_B,1.651611836,J21
1345,09142 Cell motility,J21_B,4.80987367,J21
1346,09181 Protein families: metabolism,J21_B,2.135971897,J21
1347,09182 Protein families: genetic information processing,J21_B,9.712299023,J21
1348,09183 Protein families: signaling and cellular processes,J21_B,4.398999921,J21
1349,09191 Unclassified: metabolism,J21_B,4.840557958,J21
1350,Other,J21_B,4.391904899,J21
1351,09101 Carbohydrate metabolism,J21_C,16.25773688,J21
1352,09102 Energy metabolism,J21_C,8.389669866,J21
1353,09103 Lipid metabolism,J21_C,4.316962494,J21
1354,09104 Nucleotide metabolism,J21_C,3.684580038,J21
1355,09105 Amino acid metabolism,J21_C,9.565240088,J21
1356,09106 Metabolism of other amino acids,J21_C,1.736074343,J21
1357,09107 Glycan biosynthesis and metabolism,J21_C,3.562908173,J21
1358,09108 Metabolism of cofactors and vitamins,J21_C,4.544174904,J21
1359,09122 Translation,J21_C,13.54842786,J21
1360,09124 Replication and repair,J21_C,1.093835876,J21
1361,09131 Membrane transport,J21_C,1.469974501,J21
1362,09132 Signal transduction,J21_C,1.652052049,J21
1363,09142 Cell motility,J21_C,4.977847276,J21
1364,09181 Protein families: metabolism,J21_C,2.118461864,J21
1365,09182 Protein families: genetic information processing,J21_C,9.923489343,J21
1366,09183 Protein families: signaling and cellular processes,J21_C,4.625734697,J21
1367,09191 Unclassified: metabolism,J21_C,4.350234632,J21
1368,Other,J21_C,4.182595117,J21
1369,09101 Carbohydrate metabolism,J22_A,16.59035055,J22
1370,09102 Energy metabolism,J22_A,8.7554015,J22
1371,09103 Lipid metabolism,J22_A,4.605078351,J22
1372,09104 Nucleotide metabolism,J22_A,3.520380544,J22
1373,09105 Amino acid metabolism,J22_A,9.39971974,J22
1374,09106 Metabolism of other amino acids,J22_A,1.786687591,J22
1375,09107 Glycan biosynthesis and metabolism,J22_A,3.448605368,J22
1376,09108 Metabolism of cofactors and vitamins,J22_A,4.656920862,J22
1377,09122 Translation,J22_A,12.78277626,J22
1378,09124 Replication and repair,J22_A,1.066389647,J22
1379,09131 Membrane transport,J22_A,1.509061707,J22
1380,09132 Signal transduction,J22_A,1.652114813,J22
1381,09142 Cell motility,J22_A,4.549469046,J22
1382,09181 Protein families: metabolism,J22_A,2.104131843,J22
1383,09182 Protein families: genetic information processing,J22_A,9.766487556,J22
1384,09183 Protein families: signaling and cellular processes,J22_A,4.839205654,J22
1385,09191 Unclassified: metabolism,J22_A,4.792560813,J22
1386,Other,J22_A,4.174658158,J22
1387,09101 Carbohydrate metabolism,J22_B,16.82761731,J22
1388,09102 Energy metabolism,J22_B,8.871475881,J22
1389,09103 Lipid metabolism,J22_B,4.691023291,J22
1390,09104 Nucleotide metabolism,J22_B,3.395925872,J22
1391,09105 Amino acid metabolism,J22_B,9.536541269,J22
1392,09106 Metabolism of other amino acids,J22_B,1.999049474,J22
1393,09107 Glycan biosynthesis and metabolism,J22_B,3.268682641,J22
1394,09108 Metabolism of cofactors and vitamins,J22_B,4.731672716,J22
1395,09122 Translation,J22_B,12.38154402,J22
1396,09124 Replication and repair,J22_B,1.028167746,J22
1397,09131 Membrane transport,J22_B,1.636049015,J22
1398,09132 Signal transduction,J22_B,1.566421801,J22
1399,09142 Cell motility,J22_B,4.555064465,J22
1400,09181 Protein families: metabolism,J22_B,2.134114037,J22
1401,09182 Protein families: genetic information processing,J22_B,9.590214791,J22
1402,09183 Protein families: signaling and cellular processes,J22_B,4.388570927,J22
1403,09191 Unclassified: metabolism,J22_B,5.005021378,J22
1404,Other,J22_B,4.392843367,J22
1405,09101 Carbohydrate metabolism,J22_C,16.24684639,J22
1406,09102 Energy metabolism,J22_C,8.359815483,J22
1407,09103 Lipid metabolism,J22_C,4.243950839,J22
1408,09104 Nucleotide metabolism,J22_C,3.716567593,J22
1409,09105 Amino acid metabolism,J22_C,9.471267132,J22
1410,09106 Metabolism of other amino acids,J22_C,1.639905683,J22
1411,09107 Glycan biosynthesis and metabolism,J22_C,3.509855358,J22
1412,09108 Metabolism of cofactors and vitamins,J22_C,4.569183313,J22
1413,09122 Translation,J22_C,13.46898806,J22
1414,09124 Replication and repair,J22_C,1.117225529,J22
1415,09131 Membrane transport,J22_C,1.61419898,J22
1416,09132 Signal transduction,J22_C,1.682617979,J22
1417,09142 Cell motility,J22_C,4.854657148,J22
1418,09181 Protein families: metabolism,J22_C,2.188106088,J22
1419,09182 Protein families: genetic information processing,J22_C,9.849291694,J22
1420,09183 Protein families: signaling and cellular processes,J22_C,4.73938858,J22
1421,09191 Unclassified: metabolism,J22_C,4.509221919,J22
1422,Other,J22_C,4.21891224,J22
1423,09101 Carbohydrate metabolism,J23_A,16.74165651,J23
1424,09102 Energy metabolism,J23_A,8.618414414,J23
1425,09103 Lipid metabolism,J23_A,4.549186696,J23
1426,09104 Nucleotide metabolism,J23_A,3.522319772,J23
1427,09105 Amino acid metabolism,J23_A,9.535287672,J23
1428,09106 Metabolism of other amino acids,J23_A,1.834354061,J23
1429,09107 Glycan biosynthesis and metabolism,J23_A,3.340736051,J23
1430,09108 Metabolism of cofactors and vitamins,J23_A,4.645911513,J23
1431,09122 Translation,J23_A,12.67501522,J23
1432,09124 Replication and repair,J23_A,1.067798125,J23
1433,09131 Membrane transport,J23_A,1.675826617,J23
1434,09132 Signal transduction,J23_A,1.650724604,J23
1435,09142 Cell motility,J23_A,4.475493537,J23
1436,09181 Protein families: metabolism,J23_A,2.211211798,J23
1437,09182 Protein families: genetic information processing,J23_A,9.647012646,J23
1438,09183 Protein families: signaling and cellular processes,J23_A,4.526816121,J23
1439,09191 Unclassified: metabolism,J23_A,4.905638838,J23
1440,Other,J23_A,4.376595804,J23
1441,09101 Carbohydrate metabolism,J23_B,17.42935766,J23
1442,09102 Energy metabolism,J23_B,8.710140674,J23
1443,09103 Lipid metabolism,J23_B,4.730047139,J23
1444,09104 Nucleotide metabolism,J23_B,3.317011219,J23
1445,09105 Amino acid metabolism,J23_B,9.552734762,J23
1446,09106 Metabolism of other amino acids,J23_B,2.083751412,J23
