,OTU_ID,sample,Sample_Depth,plant_nr,Site,abun,Guild
619,234,J1_C,,J1,El Junco,NA,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
620,244,J1_C,,J1,El Junco,0.333373021,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
621,247,J1_C,,J1,El Junco,0.35123229,Plant Pathogen
622,260,J1_C,,J1,El Junco,0.125014883,Fungal Parasite
623,348,J1_C,,J1,El Junco,NA,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
624,365,J1_C,,J1,El Junco,NA,Undefined Saprotroph
625,449,J1_C,,J1,El Junco,18.81771639,Undefined Saprotroph
626,452,J1_C,,J1,El Junco,NA,Soil Saprotroph
627,472,J1_C,,J1,El Junco,18.20454816,Arbuscular Mycorrhizal
628,482,J1_C,,J1,El Junco,1.708536731,Undefined Saprotroph
629,484,J1_C,,J1,El Junco,32.83724253,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
630,1_Other,J1_C,,J1,El Junco,20.01428742,Other
631,14,J10_A,,J10,El Junco,NA,Undefined Saprotroph
632,48,J10_A,,J10,El Junco,0.998681943,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
633,73,J10_A,,J10,El Junco,NA,Undefined Saprotroph
634,128,J10_A,,J10,El Junco,4.36986718,Undefined Saprotroph
635,156,J10_A,,J10,El Junco,2.838892832,Endophyte
636,160,J10_A,,J10,El Junco,NA,Undefined Saprotroph
637,234,J10_A,,J10,El Junco,5.317854608,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
638,244,J10_A,,J10,El Junco,0.228125317,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
639,247,J10_A,,J10,El Junco,5.434451992,Plant Pathogen
640,260,J10_A,,J10,El Junco,0.299097638,Fungal Parasite
